COMMENTS,ATTRIBUTE21,ATTRIBUTE22,ATTRIBUTE23,ATTRIBUTE24,ATTRIBUTE25,ATTRIBUTE26,ATTRIBUTE27,ATTRIBUTE28,ATTRIBUTE29,ATTRIBUTE30,ORGANIZATION_ID,BUSINESS_GROUP_ID,COST_ALLOCATION_KEYFLEX_ID,LOCATION_ID,SOFT_CODING_KEYFLEX_ID,DATE_FROM,NAME,DATE_TO,INTERNAL_EXTERNAL_FLAG,INTERNAL_ADDRESS_LINE,TYPE,REQUEST_ID,PROGRAM_APPLICATION_ID,PROGRAM_ID,PROGRAM_UPDATE_DATE,ATTRIBUTE_CATEGORY,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,ATTRIBUTE16,ATTRIBUTE17,ATTRIBUTE18,ATTRIBUTE19,ATTRIBUTE20,LAST_UPDATE_DATE,LAST_UPDATED_BY,LAST_UPDATE_LOGIN,CREATED_BY,CREATION_DATE,OBJECT_VERSION_NUMBER,PARTY_ID
,,,,,,,,,,,887,887,,21688,,1950-01-01 00:00:00,Vision Sweden,,INT,,DIV,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-18 11:07:34,1318,4078856,2048,1999-07-23 09:49:16,4,301147
,,,,,,,,,,,888,888,,10860,,1950-01-01 00:00:00,Vision France,,INT,,DIV,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-21 03:14:48,1318,4080785,2044,1999-07-23 10:17:46,8,301126
,,,,,,,,,,,889,889,,22108,,1950-01-01 00:00:00,Vision Netherlands,,INT,,BG,,,,,,,,,,,,,,,,,,,,,,,,,,2005-11-23 11:36:50,2047,3587813,2047,1999-07-23 10:24:22,6,301143
,,,,,,,,,,,890,888,,10860,,1950-01-01 00:00:00,Direction Générale,,INT,,DIV,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-13 06:28:44,-1,-1,2044,1999-07-23 10:28:43,7,
,,,,,,,,,,,891,888,,10860,,1950-01-01 00:00:00,Direction des Ressources Humaines,,INT,,DIV,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-13 06:28:44,-1,-1,2044,1999-07-23 10:30:05,6,
,,,,,,,,,,,892,888,,10860,,1950-01-01 00:00:00,Département Administration et Paie,,INT,,DEP,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-13 06:28:44,-1,-1,2044,1999-07-23 10:31:25,8,
,,,,,,,,,,,893,888,,10860,,1950-01-01 00:00:00,Département Formation,,INT,,DEP,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-13 06:28:44,-1,-1,2044,1999-07-23 10:31:58,7,
,,,,,,,,,,,894,888,,10860,,1950-01-01 00:00:00,Direction Commerciale,,INT,,DIV,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-13 06:28:44,-1,-1,2044,1999-07-23 10:32:32,6,
,,,,,,,,,,,895,888,,10860,,1950-01-01 00:00:00,Département des Ventes,,INT,,DEP,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-13 06:28:44,-1,-1,2044,1999-07-23 10:33:01,7,
,,,,,,,,,,,913,912,,18114,,1990-01-01 00:00:00,KR Operations,,INT,Internal,HQD,,,,,,,,,,,,,,,,,,,,,,,,,,2003-10-16 19:41:26,2051,2363899,2051,1999-07-23 13:16:52,4,
,,,,,,,,,,,914,912,,3224,,1990-01-01 00:00:00,KR Warehouse,2001-12-31 00:00:00,INT,Internal,PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,2003-10-21 18:46:31,2051,2369010,2051,1999-07-23 13:17:30,3,
,,,,,,,,,,,915,912,,3225,,1990-01-01 00:00:00,KR Plant,2001-12-31 00:00:00,INT,Internal,PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,2003-10-21 18:43:07,2051,2369010,2051,1999-07-23 13:18:57,4,
,,,,,,,,,,,916,916,3453,552,,1950-01-01 00:00:00,Vision Corporation Japan,,INT,,BU,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-25 22:07:09,2049,2336310,2050,1999-07-27 15:22:33,3,301136
,,,,,,,,,,,900,888,,10862,,1950-01-01 00:00:00,Département Marketing,,INT,,DEP,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-13 06:28:44,-1,-1,2044,1999-07-23 10:35:45,7,
