ORGANIZATION_ID,LANGUAGE,SOURCE_LANG,NAME,LAST_UPDATE_DATE,LAST_UPDATED_BY,LAST_UPDATE_LOGIN,CREATED_BY,CREATION_DATE
1220,US,US,Internet Sales - Financial Services,2000-02-14 11:07:56,2612,398757,2210,2000-01-21 08:57:02
1221,US,US,Internet Sales - Electrical White Goods,2000-02-14 11:06:47,2612,398757,2210,2000-01-21 08:59:20
1222,US,US,Business Services Division,2000-02-14 11:00:44,2612,398757,2210,2000-01-21 09:03:38
1378,US,US,ZXX,2003-11-18 12:44:48,1003465,2422239,2999,2000-04-04 12:59:40
1408,US,US,Direction de la Communication,2004-12-13 06:28:44,-1,-1,2610,2000-07-11 08:17:05
1409,US,US,Département des Relations Publiques,2004-12-13 06:28:44,-1,-1,2610,2000-07-11 08:18:23
1410,US,US,Département Communication interne,2004-12-13 06:28:44,-1,-1,2610,2000-07-11 08:18:53
1535,US,US,Progress Transit Agency,2007-01-24 09:46:29,1000462,4611653,1000354,2000-08-17 09:47:39
1475,US,US,Progress Organization-wide,2000-08-09 18:09:42,1000354,509693,1000354,2000-08-08 16:07:59
1496,US,US,Blue Cross/Blue Shield,2000-08-09 09:48:02,1000354,509687,1000354,2000-08-09 09:48:02
1615,US,US,Widget Companies,2000-09-23 10:12:36,1384,532307,1384,2000-09-23 10:10:01
1616,US,US,Widget Service Center,2000-09-23 10:19:53,1384,532307,1384,2000-09-23 10:18:30
1381,US,US,PR1,2004-12-13 06:28:42,-1,-1,-1,2000-06-06 11:22:51
1382,US,US,PR2,2004-12-13 06:28:42,-1,-1,-1,2000-06-06 11:22:52
1383,US,US,PR3,2004-12-13 06:28:43,-1,-1,-1,2000-06-06 11:22:52
1384,US,US,PR4,2004-12-13 06:28:42,-1,-1,-1,2000-06-06 11:22:52
1385,US,US,TW1-R&D Whse 1,2000-06-26 11:46:51,2936,444931,-1,2000-06-06 11:22:52
1386,US,US,TW2-R&D Whse 2,2000-06-26 11:46:57,2936,444931,-1,2000-06-06 11:22:53
1428,US,US,Direction de la Production,2004-12-13 06:28:44,-1,-1,2610,2000-07-20 04:38:32
1387,US,US,TR2 - Process Mfg R Plant 2,2004-12-13 06:28:42,-1,-1,2936,2000-06-26 11:16:28
1407,US,US,TW3 - R&D Whse 3,2000-06-27 12:09:40,2936,444985,2936,2000-06-27 12:00:31
1448,US,US,Progress Master,2007-01-31 10:33:20,1000354,4627194,1384,2000-08-08 09:35:59
1449,US,US,Administration,2000-08-08 09:48:50,1384,509482,1384,2000-08-08 09:48:50
1468,US,US,Progress Administration,2007-01-31 10:33:20,1000354,4627194,1000354,2000-08-08 11:04:51
1469,US,US,Progress Finance,2007-01-24 10:21:30,1000462,4611653,1000354,2000-08-08 11:05:30
1470,US,US,Progress Purchasing,2007-01-24 10:23:57,1000462,4611653,1000354,2000-08-08 11:06:07
1471,US,US,Progress Warehouse,2007-01-24 09:20:39,1000462,4611653,1000354,2000-08-08 11:07:04
1472,US,US,Progress Information Services,2007-01-24 10:22:50,1000462,4611653,1000354,2000-08-08 11:07:57
1473,US,US,Progress Special Org,2007-01-24 10:24:33,1000462,4611653,1000354,2000-08-08 11:08:33
1474,US,US,Progress Human Resources,2007-01-24 10:22:31,1000462,4611653,1000354,2000-08-08 11:11:07
1515,US,US,United Brotherhood of Computer Associates,2000-08-09 16:13:25,1000354,509770,1000354,2000-08-09 16:13:25
1555,US,US,Field Service,2004-12-13 06:28:52,-1,-1,1384,2000-08-29 06:39:01
1556,US,US,Vision Stores,2000-08-29 08:10:26,2611,512399,2611,2000-08-29 08:10:26
1557,US,US,Southern Region,2000-08-29 08:12:52,2611,512399,2611,2000-08-29 08:12:52
1558,US,US,Northern Region,2000-08-29 08:13:22,2611,512399,2611,2000-08-29 08:13:22
1559,US,US,Midland Region,2000-08-29 08:14:14,2611,512399,2611,2000-08-29 08:14:14
1560,US,US,London Store,2000-08-29 08:15:09,2611,512399,2611,2000-08-29 08:15:09
1561,US,US,Basingstoke Store,2000-08-29 08:15:42,2611,512399,2611,2000-08-29 08:15:42
1562,US,US,Reading Store,2000-08-29 08:16:03,2611,512399,2611,2000-08-29 08:16:03
1563,US,US,Southampton Store,2000-08-29 08:16:29,2611,512399,2611,2000-08-29 08:16:29
1564,US,US,Milton Keynes Store,2002-03-01 09:31:15,2611,1396410,2611,2000-08-29 08:17:13
1565,US,US,Northampton Store,2000-08-29 08:17:44,2611,512399,2611,2000-08-29 08:17:44
1566,US,US,Newcastle Store,2000-08-29 08:18:11,2611,512399,2611,2000-08-29 08:18:11
1567,US,US,Manchester Store,2000-08-29 08:18:38,2611,512399,2611,2000-08-29 08:18:38
1595,US,US,United Way,2000-09-22 07:50:50,1384,532009,1384,2000-09-22 07:50:50
1617,US,US,Store #101,2000-09-26 16:15:00,2816,532898,2816,2000-09-26 16:13:58
1618,US,US,District 10,2000-09-26 16:16:11,2816,532898,2816,2000-09-26 16:16:11
1619,US,US,Store #107,2000-09-26 16:18:56,2816,532898,2816,2000-09-26 16:18:56
1643,US,US,Phoenix Manufacturing,2001-01-10 10:43:03,1068,598434,1068,2001-01-10 10:43:03
1644,US,US,New Orleans Manufacturing,2001-01-10 10:52:19,1068,598434,1068,2001-01-10 10:52:19
1753,US,US,Internal Revenue Service,2001-02-22 14:53:38,1000354,742292,1000354,2001-02-22 14:53:38
1754,US,US,MasterCard,2001-02-22 14:54:26,1000354,742292,1000354,2001-02-22 14:54:26
1758,US,US,"Vision Comms, San Francisco",2001-03-13 14:44:48,1001631,773639,1068,2001-03-13 13:39:31
1946,US,US,Aspen,2001-06-06 17:03:24,-1,-1,-1,2001-06-06 17:03:24
1947,US,US,Atlanta,2001-06-06 17:03:28,-1,-1,-1,2001-06-06 17:03:28
1948,US,US,Austin,2001-06-06 17:03:28,-1,-1,-1,2001-06-06 17:03:28
1949,US,US,Berwyn,2001-06-06 17:03:28,-1,-1,-1,2001-06-06 17:03:28
1950,US,US,Bethesda,2001-06-06 17:03:28,-1,-1,-1,2001-06-06 17:03:28
1951,US,US,Boston,2001-06-06 17:03:29,-1,-1,-1,2001-06-06 17:03:29
1952,US,US,Chicago,2001-06-06 17:03:29,-1,-1,-1,2001-06-06 17:03:29
1953,US,US,Colorado Springs,2001-06-06 17:03:29,-1,-1,-1,2001-06-06 17:03:29
1954,US,US,Dallas,2001-06-06 17:03:30,-1,-1,-1,2001-06-06 17:03:30
1955,US,US,Denver,2001-06-06 17:03:30,-1,-1,-1,2001-06-06 17:03:30
1956,US,US,Los Angeles,2001-06-06 17:03:30,-1,-1,-1,2001-06-06 17:03:30
1957,US,US,Las Vegas,2001-06-06 17:03:30,-1,-1,-1,2001-06-06 17:03:30
1958,US,US,Minneapolis,2001-06-06 17:03:31,-1,-1,-1,2001-06-06 17:03:31
1959,US,US,New Jersey,2001-06-06 17:03:31,-1,-1,-1,2001-06-06 17:03:31
1960,US,US,New York,2001-06-06 17:03:31,-1,-1,-1,2001-06-06 17:03:31
1961,US,US,Pittsburgh,2001-06-06 17:03:32,-1,-1,-1,2001-06-06 17:03:32
1962,US,US,San Diego,2001-06-06 17:03:32,-1,-1,-1,2001-06-06 17:03:32
1963,US,US,Seattle,2001-06-06 17:03:32,-1,-1,-1,2001-06-06 17:03:32
1964,US,US,San Francisco,2001-06-06 17:03:32,-1,-1,-1,2001-06-06 17:03:32
1965,US,US,Tacoma,2001-06-06 17:03:33,-1,-1,-1,2001-06-06 17:03:33
1966,US,US,Tampa,2001-06-06 17:03:33,-1,-1,-1,2001-06-06 17:03:33
1967,US,US,Birmingham UK,2001-06-06 17:03:33,-1,-1,-1,2001-06-06 17:03:33
1968,US,US,Bracknell,2001-06-06 17:03:34,-1,-1,-1,2001-06-06 17:03:34
1969,US,US,Leeds,2001-06-06 17:03:34,-1,-1,-1,2001-06-06 17:03:34
1970,US,US,"City Office, London",2001-06-06 17:03:34,-1,-1,-1,2001-06-06 17:03:34
1971,US,US,Redwood Shores,2001-06-06 17:03:34,-1,-1,-1,2001-06-06 17:03:34
2032,US,US,503-Personal,2003-08-01 01:22:00,2045,2256739,1002123,2001-06-28 06:06:23
2033,US,US,111-Fertigung,2003-10-27 02:44:14,2045,2374215,1002123,2001-06-28 06:14:23
2034,US,US,01-Service,2003-12-03 00:02:07,2045,2448129,1002123,2001-06-28 06:15:54
2035,US,US,590-Betriebsrat,2003-08-01 00:53:16,2045,2256739,1002123,2001-06-28 06:17:17
2052,US,US,Progress DE,2003-01-28 08:49:15,2611,1954452,1002123,2001-07-10 08:20:32
2072,US,US,Ministerpräsident,2002-12-12 00:11:38,-1,-1,1002123,2001-07-12 08:21:24
1620,US,US,710-EDV,2003-08-01 00:57:50,2045,2256739,2045,2001-01-04 06:52:05
1621,US,US,720-IT Software,2003-08-01 01:14:21,2045,2256739,2045,2001-01-04 06:59:03
1622,US,US,731-IT Support,2003-08-01 01:15:32,2045,2256739,2045,2001-01-04 07:00:14
1623,US,US,"733-IT Support, funkt.",2003-10-27 02:48:32,2045,2374215,2045,2001-01-04 07:03:27
1624,US,US,732-IT Support - technisch,2003-08-01 01:18:05,2045,2256739,2045,2001-01-04 07:04:38
1649,US,US,Support,2001-02-06 17:17:28,1001365,686921,1001365,2001-02-06 17:12:51
1650,US,US,Manufacturing,2001-02-06 17:18:05,1001365,686921,1001365,2001-02-06 17:14:14
