ORG_INFORMATION_ID,ORG_INFORMATION_CONTEXT,ORGANIZATION_ID,ORG_INFORMATION1,ORG_INFORMATION10,ORG_INFORMATION11,ORG_INFORMATION12,ORG_INFORMATION13,ORG_INFORMATION14,ORG_INFORMATION15,ORG_INFORMATION16,ORG_INFORMATION17,ORG_INFORMATION18,ORG_INFORMATION19,ORG_INFORMATION2,ORG_INFORMATION20,ORG_INFORMATION3,ORG_INFORMATION4,ORG_INFORMATION5,ORG_INFORMATION6,ORG_INFORMATION7,ORG_INFORMATION8,ORG_INFORMATION9,REQUEST_ID,PROGRAM_APPLICATION_ID,PROGRAM_ID,PROGRAM_UPDATE_DATE,ATTRIBUTE_CATEGORY,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,ATTRIBUTE16,ATTRIBUTE17,ATTRIBUTE18,ATTRIBUTE19,ATTRIBUTE20,LAST_UPDATE_DATE,LAST_UPDATED_BY,LAST_UPDATE_LOGIN,CREATED_BY,CREATION_DATE,OBJECT_VERSION_NUMBER,PARTY_ID
1142,CLASS,604,PA_EXPENDITURE_ORG,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1613,1998-01-13 09:01:23,1,
1143,CLASS,604,PA_INVOICE_ORG,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1613,1998-01-13 09:01:43,1,
1162,CLASS,706,HR_LEGAL,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1556,1998-01-13 16:54:51,1,
1163,CLASS,706,HR_ORG,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1556,1998-01-13 16:55:00,1,
1164,1099R Magnetic Report Rules,706,Y,,Y,Oracle Corporation,500 Oracle Parkway,Redwood Shores,CA,94065,Oracle Payroll Product Manager,650-506-7000,uspaydev.us@oracle.com,999,,Y,N,ASC,Even,SL,62,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-11 19:54:57,-1,-1,1556,1998-01-13 16:56:09,6,
1165,Employer Identification,706,95-0098876,,,,,,,,,,,STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-02-13 12:37:29,1384,4662249,1556,1998-01-13 16:56:28,2,
1166,CLASS,260,HR_AAP,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1552,1998-01-17 13:33:12,1,
1167,AAP Organization,260,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1552,1998-01-17 13:34:15,1,
1168,CLASS,202,HR_AAP,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1552,1998-01-17 13:34:44,1,
1169,AAP Organization,202,Vision Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1552,1998-01-17 13:35:08,1,
1170,CLASS,243,HR_AAP,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1552,1998-01-17 13:37:39,1,
1171,AAP Organization,243,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1552,1998-01-17 13:38:05,1,
1172,Multiple Worksite Reporting,202,Y,,,,,,,,,,,John Smith,,456-0000,Please enter the Trade Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-06-09 16:48:13,-1,-1,1556,1998-01-25 11:59:17,7,
1173,SQWL GN Transmitter Rules,202,Y,,,,,,,,,,,IBM,,SL,62,ASC,18,,John Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1556,1998-01-25 12:21:32,1,
1174,W2 Reporting Rules,202,Y,,2,,,,,,,,,IBM,,SL,62,ASC,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-03-01 23:37:02,-1,-1,1556,1998-01-25 12:24:58,2,
1175,VETS-100 Filing,202,001,,,,,,,,,,,Vision Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1556,1998-01-25 12:26:24,1,
1177,CLASS,707,HR_ORG,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1554,1998-01-26 08:22:26,1,
1178,CLASS,708,HR_ORG,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1554,1998-01-26 08:26:07,1,
1179,CLASS,709,HR_ORG,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1554,1998-01-26 08:30:12,1,
1180,CLASS,710,HR_ORG,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1554,1998-01-26 08:31:40,1,
1197,CLASS,727,HR_BG,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-08-08 01:44:37,2610,2280577,1384,1998-03-17 06:31:12,3,
1198,CLASS,727,HR_ORG,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-08-08 01:44:42,2610,2280577,1384,1998-03-17 06:31:41,3,
1199,Business Group Information,727,Vision France,FRF,,,,0,51238,A,,,,A,,A,50339,50342,50338,50343,50340,GB,,,,,,,,,,,,,,,,,,,,,,,,,,2005-09-15 03:46:14,-1,-1,1384,1998-03-17 06:39:17,2,
1217,CLASS,747,HR_ORG,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1384,1998-03-18 03:26:08,1,
1218,Work Day Information,747,09:00,,,,,,,,,,,16:30,,39.000,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1384,1998-03-18 03:28:05,1,
1219,Work Day Information,727,09:00,,,,,,,,,,,16:30,,39.000,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-11 16:42:11,-1,-1,1384,1998-03-18 03:30:17,1,
